collected_date_year,collected_date_month,collected_date_day,collected_date_hour,collected_date_minute,gateway_id,device_address,data_type,data_value,status
2018,10,3,17,45,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,46,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,47,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,48,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,49,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,50,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,51,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,52,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,53,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,54,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,55,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,56,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,57,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,58,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,17,59,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,0,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,1,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,2,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,3,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,4,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,5,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,6,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,7,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,8,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,9,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,10,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,11,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,12,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,13,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,14,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,15,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,16,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,17,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,18,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,19,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,20,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,21,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,22,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,23,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,24,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,25,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,26,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,27,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,28,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,29,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,30,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,31,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,32,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,33,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,34,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,35,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,36,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,37,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,38,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,39,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,40,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,41,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,42,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,43,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,44,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,45,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,46,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,47,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,48,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,49,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,50,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,51,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,52,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,53,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,54,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,55,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,56,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,57,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,58,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,18,59,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,0,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,1,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,2,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,3,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,4,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,5,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,6,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,7,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,8,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,9,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,10,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,11,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,12,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,13,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,14,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,15,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,16,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,17,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,18,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,19,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,20,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,21,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,22,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,23,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,24,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,25,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,26,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,27,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,28,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,29,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,30,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,31,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,32,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,33,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,34,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,35,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,36,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,37,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
2018,10,3,19,38,ep1747-cdkkixog-0174,00158D000151B487,energy,,0
